,imp_sdopost
0,"[2915.98,2915.98,2912.43,2853.93,2853.93,2853.93,2853.93,2796.78,2796.78,2796.78,2796.78,2431.33,2431.33,2431.33,2339.7,2339.7,2339.7,2339.7,2339.7,2339.7,2339.7,2339.7,2339.7,2339.7,2946.4,2946.4,2946.4,2946.4,2946.4,2946.4,2946.4,2871.26,2871.26,2871.26,2871.26,2705.61,2705.61,2705.61,2705.61,2705.61,2705.61,2705.61,2705.61,2705.61,2705.61,2667.45,2667.45,2667.45,2667.45,2467.45,2467.45,2427.45,2427.45,2427.45,2427.45,2427.45,3034.15,2939.91,2939.91,2877.51,2811.51,2811.51,2811.51,2715.17,2715.17,2715.17,2715.17,2702.22,2702.22,2702.22,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,2604.4,3052.13,3052.13,3052.13,3052.13,3052.13,3052.13,3052.13,3016.21,2938.95,2843.45,2627.07,2627.07,2627.07,2627.07,2573.24,2573.24,2573.24,2573.24,2573.24,2573.24,2573.24,2090.25,2090.25,2090.25,2090.25,677.25,677.25,677.25,2421.23,578.23,1184.93,1184.93,1064.25,1064.25,1064.25,1264.25,1264.25,1202.62,1199.07,1137.02,1137.02,1137.02,1098.86,1098.86,1098.86,1098.86,1098.86,1098.86,1098.86,1009.67,1009.67,1009.67,944.67,944.67,944.67,944.67,944.67,944.67,944.67,854.41,1461.11,1461.11,1461.11,1461.11,1461.11,1461.11,1461.11,1307.71,1307.71,1307.71,1244.41,536.24,536.24,536.24,501.58,501.58,501.58,501.58,501.58,501.58,501.58,501.58,501.58,501.58,394.73,394.73,394.73,394.73,326.73,326.73,326.73,1445.22,1445.22,1286.87,1286.87,1286.87,1286.87,1286.87,1221.32,1221.32,1071.5,433.34,433.34,433.34,433.34,433.34,433.34,433.34,375.34,355.98,355.98,355.98,355.98,355.98,355.98,355.98,355.98,355.98,355.98,355.98,355.98,962.68,962.68,1018.9,1018.9,1018.9,1018.9,1018.9,939.9,939.9,339.9,339.9,339.9,301.74,301.74,301.74,260.74,260.74,260.74,260.74,197.56,197.56,197.56,197.56,197.56,197.56,197.56,197.56,197.56,197.56,197.56,197.56,197.56,197.56,752.05,752.05,620.67,620.67,620.67,620.67,620.67,557.12,557.12,397.26,313.7,313.7,313.7,313.7,313.7,313.7,313.7,252.25,252.25,252.25,252.25,129.25,129.25,129.25,129.25,129.25,129.25,129.25,84.08,681.48,681.48,681.48,681.48,681.48,681.48,612.18,595.68,595.68,595.68,556.64,556.64,556.64,556.64,556.64,487.63,487.63,487.63,487.63,487.63,425.05,425.05,350.93,350.93,283.92,283.92,283.92,283.92,283.92,283.92,907.32,663.3,663.3,663.3,663.3,463.3,463.3,463.3,391.5,391.5,391.5,840.6,840.6,862.12,862.12,862.12,862.12,862.12,798.12,733.68,733.68,733.68,733.68,733.68,733.68,733.68,108.98,108.98,108.98,108.98,108.98,108.98,1355.78,1233.66,1233.66,728.66,728.66,728.66,728.66,641.2,641.2,641.2,641.2,556.2,556.2,556.2,556.2,556.2,556.2,487.93,487.93,487.93,487.93,487.93,487.93,787.93,787.93,612.93,612.93,612.93,612.93,612.93,1236.33,1236.33,1137.52,1137.52,1137.52,1084.52,1084.52,973.67,973.67,973.67,973.67,973.67,973.67,973.67,973.67,973.67,973.67,973.67,973.67,901.34,901.34,901.34,901.34,901.34,901.34,901.34,901.34,901.34,901.34,734.44,1377.34,1377.34,1377.34,1316.34,1316.34,1316.34,1316.34,1238.75,1238.75,1238.75,1178.72,1178.72,1178.72,1178.72,1148.57,1148.57,1148.57,1148.57,1148.57,1069.48,1069.48,1029.35,1029.35,1029.35,949.6,882.6,892.4,892.4,831.39,831.39,831.39,1474.29,1474.29,1474.29,1414.74,1310.89,1310.89,1310.89,1310.89,1230.76,1230.76,1430.76,1430.76,1430.76,1430.76,1367.76,1367.76,1286.92,1286.92,1286.92,1286.92,1286.92,1286.92,1138.92,788.92,788.92,788.92,788.92,788.92,1431.82,1313.82,1313.82,1313.82,1313.82]"
1,"[228.66,228.66,228.66,228.66,154.5,154.5,154.5,154.5,154.5,584.77,584.77,584.77,584.77,584.77,434.77,434.77,434.77,434.77,401.39,401.39,401.39,381.39,381.39,381.39,381.39,381.39,381.39,381.39,361.39,361.39,224.79,224.79,224.79,224.79,224.79,61.18,61.18,61.18,61.18,61.18,61.18,61.18,491.45,491.45,491.45,491.45,491.45,491.45,491.45,491.45,491.45,482.36,423.18,423.18,423.18,423.18,423.18,423.18,286.58,326.58,326.58,326.58,326.58,113.33,113.33,113.33,113.33,113.33,113.33,113.33,543.6,543.6,543.6,543.6,523.6,523.6,523.6,489.54,489.54,449.54,449.54,449.54,449.54,449.54,449.54,449.54,449.54,449.54,449.54,449.54,449.54,312.94,735.68,655.39,179.68,179.68,179.68,179.68,179.68,639.95,639.95,639.95,639.95,639.95,639.95,639.95,639.95,639.95,639.95,639.95,639.95,639.95,601.29,601.29,530.17,530.17,530.17,530.17,530.17,393.57,393.57,310.81,310.81,-66.47,-66.47,-66.47,-68.47,-68.47,-68.47,361.8,361.8,361.8,361.8,361.8,361.8,361.8,361.8,361.8,361.8,361.8,322.06,322.06,322.06,322.06,322.06,322.06,322.06,322.06,322.06,192.52,55.92,355.92,355.92,355.92,275.44,72.02,72.02,72.02,72.02,72.02,72.02,502.28,502.28,502.28,502.28,502.28,502.28,502.28,499.77,499.77,499.77,499.77,499.77,499.77,499.77,395.75,395.75,395.75,375.75,375.75,375.75,375.75,239.2,339.2,256.09,0.49,0.49,0.49,0.49,0.49,430.76,430.76,430.76,430.76,430.76,430.76,430.76,430.76,430.76,397.09,397.09,397.09,397.09,397.09,397.09,397.09,297.09,297.09,297.09,297.09,297.09,112.64,112.64,112.64,71.13,71.13,71.13,3.23,3.23,3.23,3.23,433.5,433.5,433.5,433.5,433.5,433.5,433.5,433.5,433.5,433.5,433.5,433.5,367.1,351.12,351.12,351.12,351.12,291.12,291.12,231.12,231.12,-182.52,-182.52,-182.52,-184.52,557.93,100.2,100.2,100.2,100.2,100.2,370.47,370.47,370.47,370.47,370.47,370.47,370.47,370.47,370.47,336.8,336.8,336.8,336.8,336.8,336.8,336.8,336.8,336.8,227.26,227.26,227.26,123.62,123.62,123.62,185.27,71.03,71.03,71.03,61.03,61.03,341.3,341.3,341.3,341.3,341.3,341.3,341.3,341.3,341.3,341.3,341.3,341.3,321.3,321.3,321.3,276.15,276.15,276.15,276.15,276.15,256.15,99.6,99.6,208.28,208.28,208.28,17.15,42.46,42.46,42.46,42.46,42.46,42.46,472.73,472.73,472.73,472.73,472.73,472.73,472.73,435.28,435.28,435.28,435.28,435.28,435.28,435.28,435.28,435.28,435.28,634.28,388.18,388.18,388.18,388.18,339.9,106.94,106.94,106.94,106.94,106.94,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,337.21,286.63,286.63,286.63,286.63,149.93,149.93,128.46,128.46,20.15,20.15,20.15,32.32,32.32,32.32,462.59,442.59,442.59,442.59,442.59,442.59,442.59,442.59,442.59,442.59,442.59,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,268.3,247.1,247.1,247.1,321.74,103.25,103.25,103.25,103.25,103.25,103.25,533.52,533.52,533.52,533.52,533.52,533.52,533.52,533.52,533.52,533.52,467.21,447.21,447.21,447.21,447.21,447.21,374.25,217.55,196.35,196.35,196.35,352.35,44.14,44.14,44.14,44.14,44.14,44.14,474.41,474.41,474.41,474.41,474.41,474.41,474.41,474.41,474.41,440.6,440.6,440.6,440.6,440.6,440.6,440.6,440.6,440.6,440.6]"
